id;escola;tipo;desistiu;ano_desistencia;mes_desistencia
1;17005582;Especial;NAO;0;0
2;17005582;Normal;NAO;0;0
3;17005582;Normal;NAO;0;0
4;17005582;Normal;NAO;0;0
5;17005582;Normal;NAO;0;0
6;17005582;Normal;NAO;0;0
7;17005582;Especial;NAO;0;0
8;17005582;Normal;NAO;0;0
9;17005582;Normal;NAO;0;0
10;17005582;Normal;NAO;0;0
11;17005582;Normal;NAO;0;0
12;17005582;Normal;NAO;0;0
13;17005582;Normal;NAO;0;0
14;17005582;Normal;NAO;0;0
15;17005582;Normal;NAO;0;0
16;17005582;Normal;NAO;0;0
17;17005582;Normal;NAO;0;0
18;17005582;Normal;NAO;0;0
19;17005582;Normal;NAO;0;0
20;17005582;Normal;NAO;0;0
21;17005582;Normal;NAO;0;0
22;17005582;Normal;NAO;0;0
23;17005582;Normal;SIM;2019;1
24;17005582;Normal;NAO;0;0
25;17005582;Normal;NAO;0;0
26;17005582;Normal;NAO;0;0
27;17005582;Normal;NAO;0;0
28;17005582;Normal;NAO;0;0
29;17005582;Normal;NAO;0;0
30;17005582;Normal;SIM;2020;1
31;17005582;Normal;NAO;0;0
32;17005582;Normal;NAO;0;0
33;17005582;Normal;NAO;0;0
34;17005582;Normal;NAO;0;0
35;17005582;Normal;NAO;0;0
36;17005582;Normal;NAO;0;0
37;17005582;Normal;NAO;0;0
38;17005582;Normal;NAO;0;0
39;17005582;Normal;NAO;0;0
40;17005582;Normal;NAO;0;0
41;17005582;Normal;NAO;0;0
42;17005582;Normal;NAO;0;0
43;17005582;Normal;NAO;0;0
44;17005582;Especial;NAO;0;0
45;17005582;Normal;NAO;0;0
46;17005582;Normal;NAO;0;0
47;17005582;Normal;NAO;0;0
48;17005582;Normal;NAO;0;0
49;17005582;Normal;NAO;0;0
50;17005582;Normal;NAO;0;0
51;17005582;Normal;NAO;0;0
52;17005582;Normal;NAO;0;0
53;17005582;Normal;NAO;0;0
54;17005582;Normal;NAO;0;0
55;17005582;Normal;NAO;0;0
56;17005582;Normal;NAO;0;0
57;17005582;Normal;NAO;0;0
58;17005582;Normal;NAO;0;0
59;17005582;Normal;NAO;0;0
60;17005582;Normal;NAO;0;0
61;17005582;Normal;NAO;0;0
62;17005582;Normal;NAO;0;0
63;17005582;Normal;NAO;0;0
64;17005582;Especial;NAO;0;0
65;17005582;Normal;NAO;0;0
66;17005582;Normal;NAO;0;0
67;17005582;Especial;SIM;2019;12
68;17005582;Normal;NAO;0;0
69;17005582;Normal;NAO;0;0
70;17005582;Normal;NAO;0;0
71;17005582;Normal;NAO;0;0
72;17005582;Normal;NAO;0;0
73;17005582;Normal;NAO;0;0
74;17005582;Normal;NAO;0;0
75;17005582;Normal;NAO;0;0
76;17005582;Normal;NAO;0;0
77;17005582;Normal;NAO;0;0
78;17005582;Normal;NAO;0;0
79;17005582;Normal;NAO;0;0
80;17005582;Normal;NAO;0;0
81;17005582;Normal;NAO;0;0
82;17005582;Especial;NAO;0;0
83;17005582;Especial;NAO;0;0
84;17005582;Normal;NAO;0;0
85;17005582;Normal;NAO;0;0
86;17005582;Especial;NAO;0;0
87;17005582;Normal;NAO;0;0
88;17005582;Normal;NAO;0;0
89;17005582;Normal;NAO;0;0
90;17005582;Normal;NAO;0;0
91;17005582;Normal;NAO;0;0
92;17005582;Especial;NAO;0;0
93;17005582;Normal;NAO;0;0
94;17005582;Normal;NAO;0;0
95;17005582;Normal;SIM;2019;1
96;17005582;Normal;NAO;0;0
97;17005582;Normal;NAO;0;0
98;17005582;Normal;NAO;0;0
99;17005582;Normal;NAO;0;0
100;17005582;Normal;NAO;0;0
101;17005582;Normal;NAO;0;0
102;17005582;Normal;NAO;0;0
103;17005582;Normal;NAO;0;0
104;17005582;Normal;NAO;0;0
105;17005582;Normal;NAO;0;0
106;17005582;Normal;NAO;0;0
107;17005582;Normal;NAO;0;0
108;17005582;Normal;NAO;0;0
109;17005582;Normal;NAO;0;0
110;17005582;Normal;NAO;0;0
111;17005582;Normal;NAO;0;0
112;17005582;Especial;NAO;0;0
113;17005582;Normal;NAO;0;0
114;17005582;Normal;NAO;0;0
115;17005582;Normal;NAO;0;0
116;17005582;Normal;NAO;0;0
117;17005582;Normal;NAO;0;0
118;17005582;Normal;NAO;0;0
119;17005582;Normal;NAO;0;0
120;17005582;Normal;NAO;0;0
121;17005582;Normal;NAO;0;0
122;17005582;Normal;NAO;0;0
123;17005582;Normal;NAO;0;0
124;17005582;Normal;NAO;0;0
125;17005582;Normal;NAO;0;0
126;17005582;Normal;NAO;0;0
127;17005582;Normal;NAO;0;0
128;17005582;Especial;NAO;0;0
129;17005582;Normal;NAO;0;0
130;17005582;Normal;NAO;0;0
131;17005582;Normal;NAO;0;0
132;17005582;Normal;NAO;0;0
133;17005582;Normal;NAO;0;0
134;17005582;Normal;NAO;0;0
135;17005582;Normal;NAO;0;0
136;17005582;Normal;NAO;0;0
137;17005582;Normal;NAO;0;0
138;17005582;Normal;NAO;0;0
139;17005582;Especial;SIM;2020;2
140;17005582;Normal;NAO;0;0
141;17005582;Normal;NAO;0;0
142;17005582;Normal;NAO;0;0
143;17005582;Normal;NAO;0;0
144;17005582;Normal;NAO;0;0
145;17005582;Normal;NAO;0;0
146;17005582;Normal;NAO;0;0
147;17005582;Normal;NAO;0;0
148;17005582;Normal;NAO;0;0
149;17005582;Normal;SIM;2020;8
150;17005582;Normal;NAO;0;0
151;17005582;Normal;NAO;0;0
152;17005582;Normal;NAO;0;0
153;17005582;Normal;NAO;0;0
154;17005582;Normal;NAO;0;0
155;17005582;Normal;NAO;0;0
156;17005582;Normal;NAO;0;0
157;17005582;Normal;NAO;0;0
158;17005582;Normal;NAO;0;0
159;17005582;Normal;NAO;0;0
160;17005582;Normal;NAO;0;0
161;17005582;Normal;NAO;0;0
162;17005582;Normal;NAO;0;0
163;17005582;Especial;NAO;0;0
164;17005582;Especial;NAO;0;0
165;17005582;Normal;NAO;0;0
166;17005582;Normal;NAO;0;0
167;17005582;Normal;NAO;0;0
168;17005582;Especial;NAO;0;0
169;17005582;Normal;NAO;0;0
170;17005582;Normal;NAO;0;0
171;17005582;Normal;NAO;0;0
172;17005582;Normal;NAO;0;0
173;17005582;Especial;NAO;0;0
174;17005582;Normal;NAO;0;0
175;17005582;Normal;NAO;0;0
176;17005582;Normal;NAO;0;0
177;17005582;Normal;NAO;0;0
178;17005582;Normal;NAO;0;0
179;17005582;Normal;NAO;0;0
180;17005582;Normal;NAO;0;0
181;17005582;Normal;NAO;0;0
182;17005582;Normal;NAO;0;0
183;17005582;Normal;NAO;0;0
184;17005582;Normal;NAO;0;0
185;17005582;Normal;NAO;0;0
186;17005582;Normal;NAO;0;0
187;17005582;Normal;NAO;0;0
188;17005582;Normal;NAO;0;0
189;17005582;Normal;NAO;0;0
190;17005582;Normal;NAO;0;0
191;17005582;Normal;NAO;0;0
192;17005582;Normal;NAO;0;0
193;17005582;Normal;NAO;0;0
194;17005582;Normal;NAO;0;0
195;17005582;Normal;NAO;0;0
196;17005582;Normal;NAO;0;0
197;17005582;Normal;NAO;0;0
198;17005582;Normal;NAO;0;0
199;17005582;Normal;NAO;0;0
200;17005582;Normal;NAO;0;0
201;17005582;Normal;NAO;0;0
202;17005582;Normal;NAO;0;0
203;17005582;Normal;NAO;0;0
204;17005582;Normal;NAO;0;0
205;17005582;Normal;NAO;0;0
206;17005582;Normal;NAO;0;0
207;17005582;Normal;NAO;0;0
208;17005582;Normal;NAO;0;0
209;17005582;Normal;NAO;0;0
210;17005582;Normal;NAO;0;0
211;17005582;Normal;NAO;0;0
212;17005582;Normal;NAO;0;0
213;17005582;Normal;NAO;0;0
214;17005582;Normal;NAO;0;0
215;17005582;Normal;NAO;0;0
216;17005582;Normal;NAO;0;0
217;17005582;Normal;NAO;0;0
218;17005582;Normal;NAO;0;0
219;17005582;Normal;NAO;0;0
220;17005582;Normal;NAO;0;0
221;17005582;Normal;NAO;0;0
222;17005582;Normal;NAO;0;0
223;17005582;Normal;NAO;0;0
224;17005582;Normal;NAO;0;0
225;17005582;Normal;NAO;0;0
226;17005582;Normal;NAO;0;0
227;17005582;Normal;NAO;0;0
228;17005582;Normal;NAO;0;0
229;17005582;Normal;NAO;0;0
230;17005582;Normal;NAO;0;0
231;17005582;Normal;NAO;0;0
232;17005582;Normal;NAO;0;0
233;17005582;Normal;NAO;0;0
234;17005582;Normal;NAO;0;0
235;17005582;Normal;NAO;0;0
236;17005582;Normal;NAO;0;0
237;17005582;Normal;NAO;0;0
238;17005582;Normal;NAO;0;0
239;17005582;Normal;NAO;0;0
240;17005582;Normal;NAO;0;0
241;17005582;Normal;NAO;0;0
242;17005582;Normal;NAO;0;0
243;17005582;Normal;NAO;0;0
244;17005582;Normal;NAO;0;0
245;17005582;Normal;NAO;0;0
246;17005582;Normal;NAO;0;0
247;17005582;Normal;NAO;0;0
248;17005582;Normal;NAO;0;0
249;17005582;Normal;NAO;0;0
250;17005582;Normal;NAO;0;0
